has,prefers,count
Novice-Low,Novice-Mid,2
Novice-Mid,Novice-Low,0
Novice-Low,Novice-High,6
Novice-High,Novice-Low,0
Novice-Low,Intermediate-Low,13
Intermediate-Low,Novice-Low,0
Novice-Low,Intermediate-Mid,16
Intermediate-Mid,Novice-Low,0
Novice-Low,Intermediate-High,12
Intermediate-High,Novice-Low,0
Novice-Mid,Novice-High,3
Novice-High,Novice-Mid,0
Novice-Mid,Intermediate-Low,10
Intermediate-Low,Novice-Mid,0
Novice-Mid,Intermediate-Mid,18
Intermediate-Mid,Novice-Mid,0
Novice-Mid,Intermediate-High,6
Intermediate-High,Novice-Mid,0
Novice-Mid,Advanced-Low,1
Advanced-Low,Novice-Mid,0
Novice-High,Intermediate-Low,8
Intermediate-Low,Novice-High,0
Novice-High,Intermediate-Mid,19
Intermediate-Mid,Novice-High,0
Novice-High,Intermediate-High,18
Intermediate-High,Novice-High,0
Novice-High,Advanced-Low,8
Advanced-Low,Novice-High,0
Novice-High,Advanced-Mid,2
Advanced-Mid,Novice-High,0
Intermediate-Low,Intermediate-Low,4
Intermediate-Low,Intermediate-Mid,20
Intermediate-Low,Intermediate-High,34
Intermediate-High,Intermediate-Low,0
Intermediate-Low,Advanced-Low,13
Intermediate-Low,Advanced-Mid,4
Advanced-Mid,Intermediate-Low,0
Intermediate-Mid,Intermediate-Low,1
Intermediate-Mid,Intermediate-Mid,12
Intermediate-Mid,Intermediate-High,47
Intermediate-Mid,Advanced-Low,44
Intermediate-Mid,Advanced-Mid,22
Intermediate-Mid,Advanced-High,2
Intermediate-High,Intermediate-Mid,2
Intermediate-High,Intermediate-High,14
Intermediate-High,Advanced-Low,44
Intermediate-High,Advanced-Mid,26
Intermediate-High,Advanced-High,5
Advanced-Low,Intermediate-Low,0
Advanced-Low,Intermediate-High,2
Advanced-Low,Advanced-Low,20
Advanced-Low,Advanced-Mid,32
Advanced-Low,Advanced-High,9
Advanced-Mid,Advanced-Low,1
Advanced-Mid,Advanced-Mid,20
Advanced-Mid,Advanced-High,5
Advanced-High,Advanced-Mid,1
Advanced-High,Advanced-High,1
Advanced-High,Superior,3
Superior,Advanced-High,0
